No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter;;
100;24,875601;;24,875601;24,875669;-23,540996;;-71,957661;71,903745;143,861406;;
101;24,875669;;24,875669;24,929585;48,416665;;71,903745;-71,903805;-143,80755;;
102;24,929585;;24,929585;24,929645;-23,48708;;-71,903805;71,903104;143,806909;;
103;24,929645;;24,929645;24,930346;48,416725;;71,903104;-71,903135;-143,806239;;
104;24,930346;;24,930346;24,930377;-23,486379;;-71,903135;71,607655;143,51079;;
105;24,930377;;24,930377;25,225857;48,416756;;71,607655;-71,699271;-143,306926;;
106;25,225857;;25,225857;25,317473;-23,190899;;-71,699271;71,165663;142,864934;;
107;25,317473;;25,317473;25,851081;48,508372;;71,165663;-71,739786;-142,905449;;
111;25,851081;;25,851081;26,425204;-22,657291;;-71,739786;71,731499;143,471285;;
112;26,425204;;26,425204;26,433491;49,082495;;71,731499;-71,731522;-143,463021;;
113;26,433491;;26,433491;26,433514;-22,649004;;-71,731522;71,574749;143,306271;;
114;26,433514;;26,433514;26,590287;49,082518;;71,574749;-71,574749;-143,149498;;
116;26,590287;;26,590287;26,590287;-22,492231;;-71,574749;71,574696;143,149445;;
117;26,590287;;26,590287;26,59034;49,082518;;71,574696;-71,574752;-143,149448;;
118;26,59034;;26,59034;26,590396;-22,492178;;-71,574752;70,922138;142,49689;;
119;26,590396;;26,590396;27,24301;49,082574;;70,922138;-71,009075;-141,931213;;
121;27,24301;;27,24301;27,329947;-21,839564;;-71,009075;71,00532;142,014395;;
122;27,329947;;27,329947;27,333702;49,169511;;71,00532;-71,005923;-142,011243;;
123;27,333702;;27,333702;27,334305;-21,835809;;-71,005923;71,005858;142,011781;;
124;27,334305;;27,334305;27,33437;49,170114;;71,005858;-71,009812;-142,01567;;
125;27,33437;;27,33437;27,338324;-21,835744;;-71,009812;71,008686;142,018498;;
126;27,338324;;27,338324;27,33945;49,174068;;71,008686;-71,008767;-142,017453;;
127;27,33945;;27,33945;27,339531;-21,834618;;-71,008767;71,007126;142,015893;;
128;27,339531;;27,339531;27,341172;49,174149;;71,007126;-71,008049;-142,015175;;
129;27,341172;;27,341172;27,342095;-21,832977;;-71,008049;71,007799;142,015848;;
130;27,342095;;27,342095;27,342345;49,175072;;71,007799;-71,007903;-142,015702;;
131;27,342345;;27,342345;27,342449;-21,832727;;-71,007903;71,007827;142,01573;;
132;27,342449;;27,342449;27,342525;49,175176;;71,007827;-71,008332;-142,016159;;
133;27,342525;;27,342525;27,34303;-21,832651;;-71,008332;70,85864;141,866972;;
134;27,34303;;27,34303;27,492722;49,175681;;70,85864;-70,863083;-141,721723;;
135;27,492722;;27,492722;27,497165;-21,682959;;-70,863083;70,72084;141,583923;;
137;27,497165;;27,497165;27,639408;49,180124;;70,72084;-70,926699;-141,647539;;
139;27,639408;;27,639408;27,845267;-21,540716;;-70,926699;70,926699;141,853398;;
140;27,845267;;27,845267;27,845267;49,385983;;70,926699;-70,926699;-141,853398;;
141;27,845267;;27,845267;27,845267;-21,540716;;-70,926699;70,926513;141,853212;;
142;27,845267;;27,845267;27,845453;49,385983;;70,926513;-70,926598;-141,853111;;
143;27,845453;;27,845453;27,845538;-21,54053;;-70,926598;70,926533;141,853131;;
144;27,845538;;27,845538;27,845603;49,386068;;70,926533;-70,926533;-141,853066;;
145;27,845603;;27,845603;27,845603;-21,540465;;-70,926533;70,926533;141,853066;;
146;27,845603;;27,845603;27,845603;49,386068;;70,926533;-70,926533;-141,853066;;
147;27,845603;;27,845603;27,845603;-21,540465;;-70,926533;70,926442;141,852975;;
148;27,845603;;27,845603;27,845694;49,386068;;70,926442;-70,926508;-141,85295;;
149;27,845694;;27,845694;27,84576;-21,540374;;-70,926508;70,925972;141,85248;;
150;27,84576;;27,84576;27,846296;49,386134;;70,925972;-70,9262;-141,852172;;
151;27,846296;;27,846296;27,846524;-21,539838;;-70,9262;70,926077;141,852277;;
